Title of debate,Date,Members,Classification,Year
GREEN MEMORIAL AT DANDI,03/10/15,Heena Vijayakumar GavitDhananjay Bhimrao MahadikVijaysinh Mohite PatilT. RadhakrishnanRajeev Shankarrao Satav,,2015
INTENDED NATIONALLY DETERMINED CONTRIBUTIONS,03/10/15,Joice George,,2015
COMPENSATORY AFFORESTATION,03/10/15,Naranbhai Kachhadia,,2015
NATIONAL BOARD FOR WILDLIFE,03/10/15,Heena Vijayakumar GavitDhananjay Bhimrao MahadikVijaysinh Mohite PatilT. RadhakrishnanRajeev Shankarrao SatavSupriya Sule,,2015
NATIONAL ADAPTATION FUND,03/10/15,A. ArunmozhithevanR. Dhruvanarayana,,2015
HAZARDOUS WASTE,03/10/15,Raghav LakhanpalSanjay (Kaka) Ramchandra Patil,,2015
COUNCIL ON CLIMATE CHANGE,03/10/15,Prahlad Joshi,,2015
AMENDMENT IN ENVIRONMENT ACT,03/10/15,K. C. Venugopal,,2015
E -WASTE MANAGEMENT,03/10/15,Sanjay Shamrao DhotreAnantkumar HegdeBhartruhari MahtabSeetaram Ajmeera Naik,,2015
CONSERVATION OF AQUATIC ECO -SYSTEM,03/10/15,Nalin Kumar Kateel,,2015
AMENDMENT IN CRZ NOTIFICATIONS,03/10/15,Vinayak Bhaurao Raut,,2015
PROMOTION OF BIOMIMICRY,03/10/15,Meenakshi Lekhi,,2015
ELEPHANT CORRIDORS,03/10/15,Anto AntonyDevusinh Jesingbhai ChauhanLaxman Giluwa,,2015
SPECIAL TIGER PROTECTION FORCE,03/03/15,Rajeshbhai Naranbhai Chudasama,,2015
FIELD TRIALS OF GM CROPS,03/03/15,Jitendra ChaudhuryMd. Badaruddoza Khan,,2015
CRUELTY TO ANIMALS,03/03/15,Ramcharan Bohra,,2015
NOTIFICATION AS ECO SENSITIVE ZONES,03/03/15,Vijaysinh Mohite PatilRajeev Shankarrao Satav,,2015
PROTECTION OF FORESTS AND WILDLIFE,03/03/15,P.P. Chaudhary,,2015
STUDY ON BIO DIVERSITY,03/03/15,Ramesh Pokhriyal Nishank,,2015
EXECUTION OF LINEAR PROJECTS,03/03/15,Heena Vijayakumar GavitDhananjay Bhimrao MahadikVijaysinh Mohite PatilRajeev Shankarrao Satav,,2015
SHIFTING OF POLLUTED INDUSTRIES,03/03/15,Krishna RajArvind Ganpat SawantKrupal Balaji Tumane,,2015
VIOLATION OF CRZ NORMS,03/03/15,A.T.(Nana) Patil,,2015
FOREST LAND,03/03/15,P. KumarAnupriya Singh Patel,,2015
PROJECTS AROUND FOREST AREA,03/03/15,Sanjay Haribhau JadhavDalpat Singh Paraste,,2015
FOREST AREA IN CHHATTISGARH,03/03/15,Kamla Devi Patle,,2015
FOREST LAND IN MUMBAI,03/03/15,Rajan Baburao Vichare,,2015
RECONSTITUTION OF NATIONAL BOARD FOR WILDLIFE,03/03/15,K. Maragatham,,2015
STATE ACTION PLAN ON CLIMATE CHANGE,03/03/15,Joice George,,2015
AIR QUALITY INDEX,03/03/15,Sunil Baliram GaikwadRaksha Nikhil KhadseArun KumarP.C. Mohan,,2015
ERODING INDIAN COASTLINE,03/03/15,Heena Vijayakumar GavitDhananjay Bhimrao MahadikVijaysinh Mohite PatilT. RadhakrishnanRajeev Shankarrao Satav,,2015
GUNDIA HYDRO ELECTRICAL PROJECT,03/03/15,Shobha Karandlaje,,2015
GLOBAL WARMING,03/03/15,Raksha Nikhil KhadseSharad Tripathi,,2015
BARREN FOREST LANDS,03/03/15,P.C. Mohan,,2015
ENVIRONMENTAL CLEARANCE FOR PROJECTS,03/03/15,Gajendra Singh Shekhawat,,2015
ACTION AGAINST POLLUTING INDUSTRIES,03/03/15,Rodmal NagarVijay Kumar S.R.Devendra Singh Alias Bhole SinghB. SreeramuluPonnusamy Venugopal,,2015
IMPROVEMENT OF ENVIRONMENT,03/03/15,Bidyut Baran Mahato,,2015
POLLUTION DUE TO INDISCRIMINATE SAND MINING,03/03/15,Ponguleti Srinivasa Reddy,,2015
CONSERVATION OF TAJ MAHAL,03/03/15,R. Gopalakrishnan,,2015
CUTTING OF TREES,03/03/15,Ram Tahal ChoudharyLaxman GiluwaJ. C. Divakar Reddy,,2015
STUDY ON HYDEL PROJECTS,03/03/15,J. C. Divakar Reddy,,2015
POPULATION OF WILD ANIMALS,03/03/15,R. Gopalakrishnan,,2015
US CHINA AGREEMENT ON EMISSION CUTS,03/03/15,Hari Babu Kambhampati,,2015
AMENDMENT IN CRZ NOTIFICATION,03/03/15,Vinayak Bhaurao Raut,,2015
AIR POLLUTION,03/03/15,Ratna De (Nag)G. HariRabindra Kumar JenaVirender KashyapRamachandran MullappallyNoor MausamNagendra KumarJyotiraditya Madhavrao ScindiaGajendra Singh ShekhawatRajesh VermaRajan Baburao VichareChintaman Navsha Wanaga,,2015
NATIONAL ACTION PLAN ON CLIMATE CHANGE,03/03/15,M. B. Rajesh,,2015
GREEN CLIMATE FUND,03/03/15,B. SreeramuluSundar Lal Patwa,,2015
IMPACT OF GLOBAL WARMING ON CROPS,03/03/15,Sharad Bansode,,2015
EVALUATION OF INDUSTRIAL POLLUTION,03/03/15,Sudheer GuptaGajanan Chandrakant KirtikarShrikant Eknath ShindeKunwar Haribansh Singh,,2015
NATIONAL GREEN TRIBUNAL,03/03/15,Naranbhai Kachhadia,,2015
MINING ACTIVITIES IN WILDLIFE SANCTUARIES,03/03/15,R. DhruvanarayanaMeenakshi LekhiJ. C. Divakar Reddy,,2015
PROMOTION OF GREEN BUILDINGS,03/03/15,Gajanan Chandrakant KirtikarChirag Paswan,,2015
AMENDMENT IN ENVIRONMENTAL LAWS,03/03/15,A. ArunmozhithevanR.K. Bharathi MohanSudheer GuptaGajanan Chandrakant KirtikarShrikant Eknath ShindeKunwar Haribansh SinghP.K. Shreemathi Teacher,,2015
ENVIRONMENTAL CLEARANCE FOR PROJECTS,03/03/15,A. ArunmozhithevanGaurav GogoiSakuntala LaguriRavindra Kumar PandeyNagendra KumarC.S. PuttarajuBharat SinghKirit SomaiyaPonnusamy Venugopal,,2015
CLEAN AIR INITIATIVE,03/03/15,Sudheer GuptaGajanan Chandrakant KirtikarK. MaragathamShrikant Eknath ShindeKunwar Haribansh Singh,,2015
RISING SEA LEVEL,03/03/15,Ramachandran Mullappally,,2015
REVAMPING ENVIRONMENTAL PROTECTION LAWS,03/03/15,Balasubramaniam Senguttuvan,,2015
VIOLATION OF ENVIRONMENTAL LAWS,03/03/15,Vijay Kumar Hansdak,,2015
EFFECTS OF SEA WATER POLLUTION,03/03/15,Sushil Kumar Singh,,2015
SUSTAINABLE DEVELOPMENT OF WESTERN GHATS,03/03/15,M. K. Raghavan,,2015
SMUGGLING OF ORGANS OF WILD ANIMALS,03/03/15,Natubhai Gomanbhai Patel,,2015
FUNDS FOR POLLUTION ABATEMENT,03/03/15,Santosh Ahlawat,,2015
ECOLOGICAL FRAGILE LANDS ACT,03/03/15,Bheemrao Baswanthrao Patil,,2015
COMBATING CLIMATE CHANGE FIGHT,03/03/15,Ponnusamy Venugopal,,2015
SOURCE OF PARTICULATE MATTER,03/03/15,Parasuraman K.,,2015
VOLATILITY IN CLIMATIC CONDITIONS,2/24/2015,Rayapati Sambasiva Rao,,2015
DECLARATION OF PARTS OF MUMBAI AS BAY,2/24/2015,Kirit Somaiya,,2015
POLLUTION BY PLASTIC GARBAGE,2/24/2015,Rajesh Verma,,2015
CRZ NORMS,2/24/2015,Faizal P.P. Mohammed,,2015
POACHING OF TIGERS,2/24/2015,Laxmi Narayan Yadav,,2015
MEMORIAL IN ARABIAN SEA,2/24/2015,Chintaman Navsha Wanaga,,2015
E-WASTE,2/24/2015,Prem Das Rai,,2015
NOC TO NEW INDUSTRIAL PROJECTS,2/24/2015,Ashok Shankarrao ChavanGajanan Chandrakant KirtikarChirag PaswanShrikant Eknath ShindeKunwar Haribansh Singh,,2015
ENDANGERED WILD ANIMALS BIRDS,2/24/2015,Om Birla,,2015
COMPACT FLUORESCENT LAMPS,2/24/2015,Devusinh Jesingbhai ChauhanChandra Prakash Joshi,,2015
EMISSION OF CHLOROFLUOROCARBON GASES,2/24/2015,Maheish GirriAnantkumar Hegde,,2015
HUMAN ANIMAL CONFLICT,2/24/2015,A. Anwhar Raajhaa,,2015
FOREST RESERVE CONSERVATION,2/24/2015,C.R. Chaudhary,,2015
CARBON EMISSION,2/24/2015,Santosh AhlawatC.S. Puttaraju,,2015
EFFECTS OF CLIMATE CHANGE,2/24/2015,Kirit Premjibhai Solanki,,2015
INFORMATION OF AMENITIES IN FOREST RESERVE LAND,2/24/2015,Ram Tahal ChoudharyLaxman Giluwa,,2015
CLIMATE CHANGE,2/24/2015,Virender Kashyap,,2015
EVALUATION OF NATIONAL PARKS,2/24/2015,Rakesh Singh,,2015
CRECHES FOR TIGER CUBS,2/24/2015,Supriya Sule,,2015
NEW TECHNOLOGY TO MONITOR AIR POLLUTION,2/24/2015,Chand NathTamradhwaj Sahu,,2015
ECOLOGICALLY SENSITIVE AREAS,2/24/2015,Sushil Kumar Singh,,2015
UNIQUE IDENTIFICATION NUMBER TO TIGERS,2/24/2015,S.P. Muddahanumegowda,,2015
VETERINARY CARE IN ZOOS,2/24/2015,Sona Ram,,2015
PROTECTION AND CONSERVATION OF MANGROVES,2/24/2015,Kirit Somaiya,,2015
NATIONAL AFFORESTATION PROGRAMME,2/24/2015,Santosh AhlawatC.R. ChaudharyVishnu Dayal RamVijay Kumar S.R.,,2015
ILLEGAL TRADE OF ANIMAL PARTS,2/24/2015,Gaurav Gogoi,,2015
ILLEGAL CONSTRUCTION ON FOREST LAND,2/24/2015,Sanjay Haribhau JadhavKamla Devi Patle,,2015
COMPENSATION TO FARMERS,2/24/2015,Geetha Kothapalli,,2015
TIGER POPULATION,2/24/2015,Dalpat Singh ParasteUday Pratap Singh,,2015
COMPENSATORY AFFORESTATION SCHEME,2/24/2015,Kamla Devi Patle,,2015
MEASURES TO CHECK CLIMATE CHANGE,2/24/2015,K. Maragatham,,2015
EVALUATION OF HEALTH AFFECTING FACTORS OF POLLUTION,2/24/2015,Vijaysinh Mohite PatilT. Radhakrishnan,,2015
ALLOTMENT OF FOREST LAND,2/24/2015,Ajay Misra (TENI),,2015
FOREST ADVISORY COMMITTEE,12/23/2014,Kamla Devi Patle,,2014
EMISSION STANDARDS FOR POWER PLANTS,12/23/2014,Vasanthi M.P. NagarajanVinayak Bhaurao RautP.R. SenthilnathanRahul Ramesh Shewale,,2014
CLEARANCE FOR IRRIGATION PROJECTS,12/23/2014,Shobha KarandlajeNalin Kumar Kateel,,2014
POLLUTION BY ILLEGAL GLASS INDUSTRY,12/23/2014,Babulal Chaudhary,,2014
CUTTING OF TREES,12/23/2014,Anupriya Singh Patel,,2014
SEWAGE TREATMENT PLANTS,12/23/2014,Rajeshbhai Naranbhai ChudasamaShashi Tharoor,,2014
PROJECTS UNDER EASTERN AND WESTERN GHATS,12/23/2014,Gopalakrishnan Chinnaraj,,2014
CLEARANCE FOR ROAD PROJECTS,12/23/2014,Nityanand Rai,,2014
ENDANGERED SPECIES,12/23/2014,P.R. SenthilnathanM. Udhayakumar,,2014
DESTRUCTION OF WILD LIFE HABITATS,12/23/2014,Nishikant Dubey,,2014
AIR PURIFIER FOR DELHI MARKETS,12/23/2014,M. Udhayakumar,,2014
RECYCLING OF PLASTIC WASTE,12/23/2014,Riti Pathak,,2014
ECO SENSITIVE AREA,12/23/2014,Rajesh Kumar Diwakar,,2014
BAN ON PLASTIC BOARDS,12/23/2014,Suresh Chanabasappa Angadi,,2014
ONLINE ENVIRONMENT AND FOREST CLEARANCE,12/23/2014,Faizal P.P. MohammedBhola Singh,,2014
TIGERS IN WILD,12/23/2014,Hemant Tukaram Godse,,2014
STATE LEVEL IMPACT ASSESSMENT AUTHORITY,12/23/2014,Chandrakant Raghunath Patil,,2014
POLLUTION BY SLAUGHTER HOUSES,12/23/2014,Satyapal Singh (Baghpat),,2014
DISEASES AND DEATHS BY AIR POLLUTION,12/23/2014,R. DhruvanarayanaHeena Vijayakumar GavitDhananjay Bhimrao MahadikKapil Moreshwar PatilVijaysinh Mohite PatilRajeev Shankarrao SatavSupriya Sule,,2014
INTEGRATING ENVIRONMENTAL CONCERNS,12/23/2014,B.V. Nayak,,2014
RECONSTITUTION OF NATIONAL BOARD FOR WILDLIFE .,12/23/2014,C.N. Jayadevan,,2014
ILLEGAL FLATS IN FORESTS,12/23/2014,Sugata Bose,,2014
TREE CENSUS,12/23/2014,Ajay NishadDoddaalahalli Kempegowda Suresh,,2014
SHRINKING OF NATURAL CONSERVATION ZONE,12/23/2014,Vinod Kumar Boianapalli,,2014
POLLUTION BY BOKARO PLANT,12/23/2014,Chandrakant Bhaurao Khaire,,2014
DIRECTORATE FOR GLOBAL WARMING,12/23/2014,Jyoti DhruveNaranbhai Kachhadia,,2014
IMPACT OF SAND EXTRACTION ON ECOLOGY,12/23/2014,Sanganna Amarappa Karadi,,2014
DIVERSION OF SANCTUARY LAND,12/23/2014,Kirit Premjibhai Solanki,,2014
NISTAAR LAND,12/23/2014,Nanabhau Falgunrao Patole,,2014
DOCUMENTATION OF MEDICINAL PLANTS,12/23/2014,Heena Vijayakumar GavitDhananjay Bhimrao MahadikVijaysinh Mohite PatilT. RadhakrishnanRajeev Shankarrao SatavSupriya Sule,,2014
TIGER PLAN,12/23/2014,Joice George,,2014
MODERNISATION OF SAW MILLS,12/23/2014,Bishnu Pada Ray,,2014
CLEAN UP OF COAST,12/23/2014,Ramsinh Pataliyabhai Rathwa,,2014
IMPACT OF MERCURY ON ENVIRONMENT,12/23/2014,Sanjay Shamrao Dhotre,,2014
LINKING OF TIGER RESERVES,12/23/2014,Faggan Singh Kulaste,,2014
GREEN RATED BUILDINGS,12/23/2014,A. Arunmozhithevan,,2014
POLLUTION BY POWER PLANTS,12/23/2014,Sunil Kumar MondalVinayak Bhaurao RautRahul Ramesh Shewale,,2014
FREE PRIOR AND INFORMED CONSENT,12/23/2014,M.I. Shanavas,,2014
DATA ON NOISE AND AIR POLLUTION,12/23/2014,P.P. Chaudhary,,2014
TRANS BOUNDARY NATIONAL PARKS,12/23/2014,Shivaji Adhalrao Patil,,2014
ECO SENSITIVE ZONE,12/23/2014,Devji Patel,,2014
RIGHTS TO PEOPLE LIVING IN FOREST AREAS,12/23/2014,Ajay Misra (TENI),,2014
ILLEGAL MINING IN EASTERN AND WESTERN GHATS,12/23/2014,Adhir Ranjan ChowdhuryRaju Shetti alias Devappa Anna Shetti,,2014
CRUELTY TO ANIMALS,12/23/2014,Meenakshi Lekhi,,2014
BIO-DIVERSITY CONSERVATION,12/23/2014,P.C. Mohan,,2014
PROJECTS IN TRIBAL AREAS,12/23/2014,Ponguleti Srinivasa Reddy,,2014
GLOBAL WARMING,12/23/2014,Raju Shetti alias Devappa Anna Shetti,,2014
SAFETY OF FOREST RANGERS,12/23/2014,Shrikant Eknath Shinde,,2014
REGIONAL OFFICE,12/23/2014,Sona Ram,,2014
VIRUS ATTACK ON ANIMALS,12/23/2014,V.Sathyabama,,2014
SURVEY ON WILD ANIMALS,12/23/2014,Om BirlaR. DhruvanarayanaP.C. GaddigoudarVasanthi M.Jyotiraditya Madhavrao Scindia,,2014
ECO-SYSTEM OF RIDGE,12/23/2014,Kirti Vardhan Singh,,2014
NGT DIRECTIVE ON OLD VEHICLES,12/23/2014,Ravindra Kushawaha,,2014
ENVIRONMENTAL IMPACT REPORT,12/23/2014,Jyotiraditya Madhavrao Scindia,,2014
NOISE POLLUTION,12/23/2014,Hema Malini,,2014
RELOCATION OF WILD ANIMALS,12/16/2014,Kanwar Singh Tanwar,,2014
IMPLEMENTATION OF ENVIRONMENTAL LAWS,12/16/2014,Ram Tahal ChoudharyAnurag Singh Thakur,,2014
STANDARDS FOR TREATMENT OF EFFLUENTS,12/16/2014,K. KamaraajP. Nagarajan,,2014
CRZ AND ENVIRONMENTAL CLEARANCE,12/16/2014,Anandrao Vithoba AdsulRahul Ramesh Shewale,,2014
ECO SENSITIVE ZONES,12/16/2014,Ram Charitra,,2014
DEVELOPMENT OF BAMBOO FORESTS,12/16/2014,Riti Pathak,,2014
ACQUIRING OF FOREST LAND,12/16/2014,Santosh Ahlawat,,2014
ENVIRONMENT PROJECTS,12/16/2014,Innocent,,2014
POLLUTION ABATEMENT SCHEMES,12/16/2014,C.S. PuttarajuAbhishek Singh,,2014
SHOOLPANESHWAR SANCTUARY,12/16/2014,Chandrakant Raghunath Patil,,2014
NATIONAL ENVIRONMENTAL AWARENESS CAMPAIGN,12/16/2014,Joice George,,2014
DEVELOPMENT OF WILD LIFE SANCTUARIES,12/16/2014,Dushyant Chautala,,2014
BIO DIVERSITY BOARDS,12/16/2014,Bheemrao Baswanthrao Patil,,2014
ENVIRONMENTAL GOVERNANCE ARCHITECTURE,12/16/2014,A. Arunmozhithevan,,2014
INDUSTRIALISATION AROUND KAZIRANGA NATIONAL PARK,12/16/2014,P.C. Mohan,,2014
INDIAN PRINT MEDIA,12/16/2014,Gokaraju Ganga Raju,,2014
DEFENCE INFRASTRUCTURE PROJECT,12/16/2014,A.T.(Nana) Patil,,2014
NATIONAL GREEN TRIBUNAL,12/16/2014,Bijoya Chakravarty,,2014
OZONE LAYER DEPLETION,12/16/2014,Om Birla,,2014
NOISE POLLUTION BY AUTOMOBILES,12/16/2014,Harinder Singh Khalsa,,2014
NOISE POLLUTION,12/16/2014,S.P. Muddahanumegowda,,2014
LION REINTRODUCTION PROJECT,12/16/2014,Jyotiraditya Madhavrao Scindia,,2014
ENVIRONMENTAL CERTIFICATION,12/16/2014,Chandu Barne Shrirang,,2014
REPORT ON HYDROELECTRIC POWER PROJECT,12/16/2014,Gopalakrishnan Chinnaraj,,2014
FOREST VILLAGES,12/16/2014,Faggan Singh Kulaste,,2014
CBIPM,12/16/2014,Shashi Tharoor,,2014
AIR QUALITY INDEX,12/16/2014,Arun KumarKaushalendra KumarAlok SanjarBhola SinghT.G. Venkatesh Babu,,2014
PROTECTION FROM WILD ANIMALS,12/16/2014,Sukhbir Singh JaunpuriaAjay Misra (TENI)Sunil Kumar MondalVikram Usendi,,2014
COUNCIL ON CLIMATE CHANGE,12/16/2014,Jose K. Mani,,2014
AIR POLLUTION LEVEL,12/16/2014,K. KamaraajAlok Sanjar,,2014
ENVIRONMENTAL EDUCATION,12/16/2014,Virendra Kumar,,2014
AIR POLLUTION,12/16/2014,Gajendra Singh Shekhawat,,2014
HUDHUD CYCLONE,12/16/2014,Asaduddin OwaisiMidhun Reddy,,2014
ALLOTMENT OF FOREST LAND,12/16/2014,Suresh Kodikunnil,,2014
TREE PLANTATION,12/16/2014,Rama Kishore Singh,,2014
CONSERVATION REFUGEES,12/16/2014,Joice George,,2014
POLLUTION NORMS,12/16/2014,A.T.(Nana) Patil,,2014
REPORT ON CLIMATE CHANGE,12/16/2014,Sanjay (Kaka) Ramchandra Patil,,2014
ECO TASK FORCE,12/16/2014,Kalikesh Narayan Singh Deo,,2014
REPORT OF SUBRAMANIAN COMMITTEE,12/16/2014,A. ArunmozhithevanNagendra KumarPonnusamy VenugopalDharmendra Yadav,,2014
MANAGEMENT OF PLASTIC WASTES,12/16/2014,Harishchandra Deoram ChavanChandra Prakash JoshiArjun Ram MeghwalChhedi PaswanPrahlad Singh PatelShashi TharoorT.G. Venkatesh Babu,,2014
RING ROAD AROUND GIR FOREST,12/16/2014,Dipsinh Shankarsinh Rathod,,2014
NATIONAL FOREST POLICY,12/16/2014,Prem Singh Chandumajra,,2014
NATIONAL BIO DIVERSITY GARDEN,12/16/2014,Ramachandran Mullappally,,2014
GREEN COVER,12/16/2014,Rayapati Sambasiva Rao,,2014
NATIONAL ZOOLOGICAL PARK,12/16/2014,Saugata Roy,,2014
FOREST RIGHTS,12/16/2014,Baijayant Jay PandaKonda Vishweshwar Reddy,,2014
PROTECTION OF WILD LIFE,12/16/2014,Subhash Ramrao BhamreGajanan Chandrakant KirtikarGajendra Singh Shekhawat,,2014
ENVIRONMENT CLEARANCE FOR STONE EXCAVATION,12/16/2014,Kamla Devi Patle,,2014
PROTECTION OF BEAR,12/16/2014,P.C. Mohan,,2014
IMPACT OF CLIMATE CHANGE,12/16/2014,Ninong EringPrem Das Rai,,2014
PROTECTION OF RHINOCEROS,12/16/2014,Rajen GohainMuthamsetti Srinivasa Rao (Avnthi)Rameswar Teli,,2014
POLLUTION BY DISTILLERIES,12/16/2014,Santosh Ahlawat,,2014
AMUR FALCONS,12/16/2014,Neiphiu Rio,,2014
CELL FOR ENVIRONMENT ISSUES,12/16/2014,Rattan Lal Kataria,,2014
ADAPTATION OF ANIMALS,12/16/2014,C. Mahendran,,2014
FENCING OF RANTHAMBORE PARK,12/16/2014,Sukhbir Singh Jaunpuria,,2014
RAMSAR SITES,12/16/2014,Anto Antony,,2014
PROPOSAL FOR DIVERSION OF FOREST LAND,12/16/2014,Ashok Shankarrao ChavanGajanan Chandrakant Kirtikar,,2014
ENCROACHMENT ON FOREST LAND,12/09/14,Kanwar Singh Tanwar,,2014
DIVERSION OF FOREST LAND,12/09/14,Chandrakant Raghunath PatilKamla Devi Patle,,2014
BIO MEDICAL WASTES,12/09/14,Shivaji Adhalrao PatilDharmendra Yadav,,2014
GIS BASED SYSTEM FOR FOREST CLEARANCE,12/09/14,Ram Charitra,,2014
ACTION PLAN ON CLIMATE CHANGE,12/09/14,Sanjay JaiswalC.N. Jayadevan,,2014
CLIMATE GOALS,12/09/14,G. Hari,,2014
AFFORESTATION OF WASTELANDS,12/09/14,Laxman GiluwaKirti Vardhan Singh,,2014
CONSERVATION OF GLACIERS,12/09/14,Poonam MahajanRamesh Pokhriyal Nishank,,2014
PROTECTION OF OCEAN MARINE ECO SYSTEM,12/09/14,Sisir Kumar AdhikariC.S. Puttaraju,,2014
FOREST COVER,12/09/14,P.P. ChaudharyKrupal Balaji Tumane,,2014
PLANTATION OF TREES,12/09/14,Maheish GirriRavindra KushawahaKeshav Prasad MauryaSunil Kumar Mondal,,2014
MOU ON GLOBAL WARMING,12/09/14,Suresh Kodikunnil,,2014
FOREST DWELLERS,12/09/14,R. Dhruvanarayana,,2014
PAINTED STORKS,12/09/14,Uday Pratap Singh,,2014
ENVIRONMENTAL CLEARANCE PROCEDURE,12/09/14,M.I. Shanavas,,2014
SATELLITE TECHNOLOGY FOR ENVIRONMENTAL CONSERVATION,12/09/14,Ch. Malla Reddy,,2014
ENVIRONMENT COMMISSION,12/09/14,Vijay Kumar S.R.,,2014
TIGER RESERVES,12/09/14,Prahlad Singh Patel,,2014
IMPORT OF GENETICALLY MODIFIED SEED,12/09/14,Sushil Kumar Singh,,2014
BIO DIVERSITY,12/09/14,Ramesh Pokhriyal NishankDevji Patel,,2014
CENTRE FOR ZOO SCIENCES,12/09/14,Gopalakrishnan ChinnarajP. Nagarajan,,2014
POLICY ON CLIMATE CHANGE,12/09/14,Arjun Charan SethiP.K. Shreemathi Teacher,,2014
RECYCLING OF WASTES AND SCRAPS,12/09/14,Rama DeviChandrakant Bhaurao Khaire,,2014
REVIEW OF ENVIRONMENTAL LAWS,12/09/14,Nagendra KumarVinayak Bhaurao RautRahul Ramesh ShewaleNarasimham Thota,,2014
FOREST FIRE,12/09/14,Ninong EringBhairon Prasad MishraV.Sathyabama,,2014
IMPACT OF CLIMATE CHANGE,12/09/14,Yogi AdityanathSrinivas Kesineni,,2014
PLANTATION LEVEL,12/09/14,Devusinh Jesingbhai Chauhan,,2014
RESERVED AREAS,12/09/14,Anantkumar Hegde,,2014
SMUGGLING OF ANIMALS,12/09/14,Heena Vijayakumar GavitDhananjay Bhimrao MahadikT. RadhakrishnanRajeev Shankarrao SatavSupriya Sule,,2014
POACHING OF BLACKBUCKS,12/09/14,Rayapati Sambasiva RaoDushyant Singh,,2014
ILLEGAL MINING IN ARAVALI REGION,12/09/14,P.P. Chaudhary,,2014
URBAN GREEN COVER,12/09/14,Poonam Mahajan,,2014
FACILITIES TO FOREST DWELLERS,12/09/14,Laxman GiluwaSakuntala LaguriAjay Misra (TENI),,2014
DESTRUCTION OF FOREST HABITAT,12/09/14,Subhash Chandra BaheriaOm BirlaSankar Prasad DattaJagdambika PalKulamani SamalRam Prasad SarmahB. SreeramuluJay Prakash Narayan Yadav,,2014
MISSING ELEPHANTS,12/09/14,Sisir Kumar AdhikariBheemrao Baswanthrao PatilSunil Kumar Singh,,2014
SEWAGE TREATMENT PLANTS,12/09/14,V.Sathyabama,,2014
USE OF ICT IN FOREST MANAGEMENT,12/09/14,Jyoti DhruveNaranbhai Kachhadia,,2014
DIVERSION OF FOREST LAND,12/09/14,Midhun Reddy,,2014
CONSERVATION OF WORLD HERITAGE SITES,12/09/14,Ponnusamy Venugopal,,2014
PM S COUNCIL ON CLIMATE CHANGE,12/09/14,C.N. Jayadevan,,2014
GREEN GROWTH MODELS,12/09/14,Kalikesh Narayan Singh Deo,,2014
CHEETAH PROJECT,12/09/14,Prahlad Singh Patel,,2014
GREEN INDIA MISSION,12/09/14,Ramachandran Mullappally,,2014
SHRIMP CULTURE,12/09/14,Meenakshi Lekhi,,2014
SAFETY FEATURES IN ZOOS,12/09/14,Jyotiraditya Madhavrao Scindia,,2014
DIVERSION OF LAND IN SANCTUARY,12/09/14,Chandrakant Raghunath Patil,,2014
ANIMAL WELFARE ORGANIZATIONS,12/09/14,Satish Chandra DubeyJanardan Singh Sigriwal,,2014
EMISSION OF GREEN HOUSE GASES,12/09/14,Om Birla,,2014
DIESEL CARS,12/09/14,P.C. Mohan,,2014
EVICTION OF FARMERS,12/09/14,Suresh Kodikunnil,,2014
ENVIRONMENTAL CLEARANCE FOR PROJECTS,12/09/14,P.K. BijuRamen DekaNinong EringParasuraman K.Meenakshi LekhiAnoop MishraRavindra Kumar PandeyKamla Devi PatleRayapati Sambasiva RaoPrathap SimhaShivkumar Chanabasappa UdasiT.G. Venkatesh Babu,,2014
E WASTE,12/09/14,Ashok Shankarrao ChavanNishikant DubeyJoice GeorgeGajanan Chandrakant KirtikarKunwar Haribansh SinghRajan Baburao Vichare,,2014
SETTING UP OF INTERNATIONAL ZOO,12/09/14,Ashok Shankarrao ChavanGajanan Chandrakant Kirtikar,,2014
SALT PAN LANDS,12/09/14,Ashok Shankarrao ChavanGajanan Chandrakant Kirtikar,,2014
POLLUTION STANDARDS,12/09/14,C.S. Puttaraju,,2014
SAND MINING IN YAMUNA,12/09/14,P.P. ChaudharyBheemrao Baswanthrao Patil,,2014
SMUGGLING OF RED SANDALWOOD,12/09/14,Yerram Venkata Subbareddy,,2014
ENVIRONMENT CLEARANCE FOR BORDER ROADS,12/09/14,A.T.(Nana) Patil,,2014
DIVERSION OF FOREST LAND,12/02/14,Krupal Balaji Tumane,,2014
COMMON EFFLUENT TREATMENT PLANTS,12/02/14,Charanjit Singh Rori,,2014
ENVIRONMENTAL CLEARANCES FOR TPPS,12/02/14,Yerram Venkata Subbareddy,,2014
RAINWATER HARVESTING,12/02/14,Saugata Roy,,2014
EMISSION FROM POWER PLANT,12/02/14,Ramdas Chandrabhanji Tadas,,2014
COMPENSATORY AFFORESTATION SCHEME,12/02/14,Shashi Tharoor,,2014
WESTERN GHATS CONSERVATION,12/02/14,P. Karunakaran,,2014
ACTION AGAINST POLLUTING INDUSTRIAL UNITS,12/02/14,Arjun Ram Meghwal,,2014
ILLEGAL SAND MINING,12/02/14,Saugata Roy,,2014
PLANTATION OF TREES,12/02/14,Kinjarapu Ram Mohan Naidu,,2014
COMMITTEES ON WESTERN GHATS,11/26/2014,Joice GeorgeShobha KarandlajeP. KarunakaranSuresh KodikunnilRamachandran MullappallyK. C. VenugopalChintaman Navsha Wanaga,,2014
